RespondentID,Age,Gender,EducationLevel,Income,Region,Stratum,Cluster
1001,34,Female,Bachelor,52000,North,College Graduate,Cluster 1
1002,45,Male,High School,41000,East,High School,Cluster 2
1003,29,Female,Master,67000,West,Postgraduate,Cluster 3
1004,52,Male,Associate,48000,South,Some College,Cluster 4
1005,38,Other,Bachelor,55000,North,College Graduate,Cluster 1
1006,41,Female,High School,39000,East,High School,Cluster 2
1007,27,Male,Master,72000,West,Postgraduate,Cluster 3
1008,36,Female,Associate,46000,South,Some College,Cluster 4
1009,33,Male,Bachelor,53000,North,College Graduate,Cluster 1
1010,49,Female,High School,42000,East,High School,Cluster 2
1011,31,Male,Master,69000,West,Postgraduate,Cluster 3
1012,54,Female,Associate,47000,South,Some College,Cluster 4
1013,39,Male,Bachelor,56000,North,College Graduate,Cluster 1
1014,43,Female,High School,40000,East,High School,Cluster 2
1015,28,Male,Master,71000,West,Postgraduate,Cluster 3
1016,37,Female,Associate,45000,South,Some College,Cluster 4
1017,35,Male,Bachelor,54000,North,College Graduate,Cluster 1
1018,47,Female,High School,43000,East,High School,Cluster 2
1019,30,Male,Master,68000,West,Postgraduate,Cluster 3
1020,53,Female,Associate,49000,South,Some College,Cluster 4
1021,40,Male,Bachelor,57000,North,College Graduate,Cluster 1
1022,44,Female,High School,41500,East,High School,Cluster 2
1023,26,Male,Master,73000,West,Postgraduate,Cluster 3
1024,38,Female,Associate,45500,South,Some College,Cluster 4
1025,32,Male,Bachelor,52500,North,College Graduate,Cluster 1
1026,50,Female,High School,40500,East,High School,Cluster 2
1027,29,Male,Master,70000,West,Postgraduate,Cluster 3
1028,55,Female,Associate,47500,South,Some College,Cluster 4
1029,36,Male,Bachelor,56000,North,College Graduate,Cluster 1
1030,42,Female,High School,39500,East,High School,Cluster 2
1031,27,Male,Master,72000,West,Postgraduate,Cluster 3
1032,39,Female,Associate,46500,South,Some College,Cluster 4
1033,34,Male,Bachelor,53500,North,College Graduate,Cluster 1
1034,46,Female,High School,42500,East,High School,Cluster 2
1035,31,Male,Master,69000,West,Postgraduate,Cluster 3
1036,52,Female,Associate,48500,South,Some College,Cluster 4
1037,37,Male,Bachelor,55500,North,College Graduate,Cluster 1
1038,41,Female,High School,41000,East,High School,Cluster 2
1039,28,Male,Master,71500,West,Postgraduate,Cluster 3
1040,54,Female,Associate,49500,South,Some College,Cluster 4
1041,39,Male,Bachelor,56500,North,College Graduate,Cluster 1
1042,43,Female,High School,40500,East,High School,Cluster 2
1043,30,Male,Master,68500,West,Postgraduate,Cluster 3
1044,53,Female,Associate,48000,South,Some College,Cluster 4
1045,35,Male,Bachelor,54500,North,College Graduate,Cluster 1
1046,48,Female,High School,43500,East,High School,Cluster 2
1047,29,Male,Master,70500,West,Postgraduate,Cluster 3
1048,38,Female,Associate,46000,South,Some College,Cluster 4
1049,33,Male,Bachelor,53000,North,College Graduate,Cluster 1
1050,49,Female,High School,42000,East,High School,Cluster 2
1051,31,Male,Master,69500,West,Postgraduate,Cluster 3
1052,55,Female,Associate,47000,South,Some College,Cluster 4
1053,36,Male,Bachelor,56000,North,College Graduate,Cluster 1
1054,42,Female,High School,40000,East,High School,Cluster 2
1055,27,Male,Master,72500,West,Postgraduate,Cluster 3
1056,39,Female,Associate,46500,South,Some College,Cluster 4
1057,34,Male,Bachelor,54000,North,College Graduate,Cluster 1
1058,47,Female,High School,43000,East,High School,Cluster 2
1059,30,Male,Master,68000,West,Postgraduate,Cluster 3
1060,53,Female,Associate,49000,South,Some College,Cluster 4
1061,40,Male,Bachelor,57000,North,College Graduate,Cluster 1
1062,44,Female,High School,41500,East,High School,Cluster 2
1063,26,Male,Master,73500,West,Postgraduate,Cluster 3
1064,38,Female,Associate,45500,South,Some College,Cluster 4
1065,32,Male,Bachelor,52500,North,College Graduate,Cluster 1
1066,50,Female,High School,40500,East,High School,Cluster 2
1067,29,Male,Master,70000,West,Postgraduate,Cluster 3
1068,55,Female,Associate,47500,South,Some College,Cluster 4
1069,36,Male,Bachelor,56000,North,College Graduate,Cluster 1
1070,42,Female,High School,39500,East,High School,Cluster 2
1071,27,Male,Master,72000,West,Postgraduate,Cluster 3
1072,39,Female,Associate,46500,South,Some College,Cluster 4
1073,34,Male,Bachelor,53500,North,College Graduate,Cluster 1
1074,46,Female,High School,42500,East,High School,Cluster 2
1075,31,Male,Master,69000,West,Postgraduate,Cluster 3
1076,52,Female,Associate,48500,South,Some College,Cluster 4
1077,37,Male,Bachelor,55500,North,College Graduate,Cluster 1
1078,41,Female,High School,41000,East,High School,Cluster 2
1079,28,Male,Master,71500,West,Postgraduate,Cluster 3
1080,54,Female,Associate,49500,South,Some College,Cluster 4
1081,39,Male,Bachelor,56500,North,College Graduate,Cluster 1
1082,43,Female,High School,40500,East,High School,Cluster 2
1083,30,Male,Master,68500,West,Postgraduate,Cluster 3
1084,53,Female,Associate,48000,South,Some College,Cluster 4
1085,35,Male,Bachelor,54500,North,College Graduate,Cluster 1
1086,48,Female,High School,43500,East,High School,Cluster 2
1087,29,Male,Master,70500,West,Postgraduate,Cluster 3
1088,38,Female,Associate,46000,South,Some College,Cluster 4
1089,33,Male,Bachelor,53000,North,College Graduate,Cluster 1
1090,49,Female,High School,42000,East,High School,Cluster 2
1091,31,Male,Master,69500,West,Postgraduate,Cluster 3
1092,55,Female,Associate,47000,South,Some College,Cluster 4
1093,36,Male,Bachelor,56000,North,College Graduate,Cluster 1
1094,42,Female,High School,40000,East,High School,Cluster 2
1095,27,Male,Master,72500,West,Postgraduate,Cluster 3
1096,39,Female,Associate,46500,South,Some College,Cluster 4
1097,34,Male,Bachelor,54000,North,College Graduate,Cluster 1
1098,47,Female,High School,43000,East,High School,Cluster 2
1099,30,Male,Master,68000,West,Postgraduate,Cluster 3
1100,53,Female,Associate,49000,South,Some College,Cluster 4
1101,41,Other,Bachelor,57500,North,College Graduate,Cluster 1
1102,45,Male,High School,41200,East,High School,Cluster 2
1103,29,Female,Master,67500,West,Postgraduate,Cluster 3
1104,52,Male,Associate,48200,South,Some College,Cluster 4
1105,38,Other,Bachelor,55200,North,College Graduate,Cluster 1
1106,41,Female,High School,39200,East,High School,Cluster 2
1107,27,Male,Master,72200,West,Postgraduate,Cluster 3
1108,36,Female,Associate,46200,South,Some College,Cluster 4
1109,33,Male,Bachelor,53200,North,College Graduate,Cluster 1
1110,49,Female,High School,42200,East,High School,Cluster 2
1111,31,Male,Master,69200,West,Postgraduate,Cluster 3
1112,54,Female,Associate,47200,South,Some College,Cluster 4
1113,39,Male,Bachelor,56200,North,College Graduate,Cluster 1
1114,43,Female,High School,40200,East,High School,Cluster 2
1115,28,Male,Master,71200,West,Postgraduate,Cluster 3
1116,37,Female,Associate,45200,South,Some College,Cluster 4
1117,35,Male,Bachelor,54200,North,College Graduate,Cluster 1
1118,47,Female,High School,43200,East,High School,Cluster 2
1119,30,Male,Master,68200,West,Postgraduate,Cluster 3
1120,53,Female,Associate,49200,South,Some College,Cluster 4
1121,40,Male,Bachelor,57200,North,College Graduate,Cluster 1
1122,44,Female,High School,41700,East,High School,Cluster 2
1123,26,Male,Master,73200,West,Postgraduate,Cluster 3
1124,38,Female,Associate,45700,South,Some College,Cluster 4
1125,32,Male,Bachelor,52700,North,College Graduate,Cluster 1
1126,50,Female,High School,40700,East,High School,Cluster 2
1127,29,Male,Master,70200,West,Postgraduate,Cluster 3
1128,55,Female,Associate,47700,South,Some College,Cluster 4
1129,36,Male,Bachelor,56200,North,College Graduate,Cluster 1
1130,42,Female,High School,39700,East,High School,Cluster 2
1131,27,Male,Master,72400,West,Postgraduate,Cluster 3
1132,39,Female,Associate,46700,South,Some College,Cluster 4
1133,34,Male,Bachelor,53700,North,College Graduate,Cluster 1
1134,46,Female,High School,42700,East,High School,Cluster 2
1135,31,Male,Master,69200,West,Postgraduate,Cluster 3
1136,52,Female,Associate,48700,South,Some College,Cluster 4
1137,37,Male,Bachelor,55700,North,College Graduate,Cluster 1
1138,41,Female,High School,41200,East,High School,Cluster 2
1139,28,Male,Master,71700,West,Postgraduate,Cluster 3
1140,54,Female,Associate,49700,South,Some College,Cluster 4
1141,39,Male,Bachelor,56700,North,College Graduate,Cluster 1
1142,43,Female,High School,40700,East,High School,Cluster 2
1143,30,Male,Master,68700,West,Postgraduate,Cluster 3
1144,53,Female,Associate,48200,South,Some College,Cluster 4
1145,35,Male,Bachelor,54700,North,College Graduate,Cluster 1
1146,48,Female,High School,43700,East,High School,Cluster 2
1147,29,Male,Master,70700,West,Postgraduate,Cluster 3
1148,38,Female,Associate,46200,South,Some College,Cluster 4
1149,33,Male,Bachelor,53200,North,College Graduate,Cluster 1
1150,49,Female,High School,42200,East,High School,Cluster 2
1151,31,Male,Master,69700,West,Postgraduate,Cluster 3
1152,55,Female,Associate,47200,South,Some College,Cluster 4
1153,36,Male,Bachelor,56200,North,College Graduate,Cluster 1
1154,42,Female,High School,40200,East,High School,Cluster 2
1155,27,Male,Master,72700,West,Postgraduate,Cluster 3
1156,39,Female,Associate,46700,South,Some College,Cluster 4
1157,34,Male,Bachelor,54200,North,College Graduate,Cluster 1
1158,47,Female,High School,43200,East,High School,Cluster 2
1159,30,Male,Master,68200,West,Postgraduate,Cluster 3
1160,53,Female,Associate,49200,South,Some College,Cluster 4
1161,40,Male,Bachelor,57200,North,College Graduate,Cluster 1
1162,44,Female,High School,41700,East,High School,Cluster 2
1163,26,Male,Master,73700,West,Postgraduate,Cluster 3
1164,38,Female,Associate,45700,South,Some College,Cluster 4
1165,32,Male,Bachelor,52700,North,College Graduate,Cluster 1
1166,50,Female,High School,40700,East,High School,Cluster 2
1167,29,Male,Master,70200,West,Postgraduate,Cluster 3
1168,55,Female,Associate,47700,South,Some College,Cluster 4
1169,36,Male,Bachelor,56200,North,College Graduate,Cluster 1
1170,42,Female,High School,39700,East,High School,Cluster 2
1171,27,Male,Master,72400,West,Postgraduate,Cluster 3
1172,39,Female,Associate,46700,South,Some College,Cluster 4
1173,34,Male,Bachelor,53700,North,College Graduate,Cluster 1
1174,46,Female,High School,42700,East,High School,Cluster 2
1175,31,Male,Master,69200,West,Postgraduate,Cluster 3
1176,52,Female,Associate,48700,South,Some College,Cluster 4
1177,37,Male,Bachelor,55700,North,College Graduate,Cluster 1
1178,41,Female,High School,41200,East,High School,Cluster 2
1179,28,Male,Master,71700,West,Postgraduate,Cluster 3
1180,54,Female,Associate,49700,South,Some College,Cluster 4
1181,39,Male,Bachelor,56700,North,College Graduate,Cluster 1
1182,43,Female,High School,40700,East,High School,Cluster 2
1183,30,Male,Master,68700,West,Postgraduate,Cluster 3
1184,53,Female,Associate,48200,South,Some College,Cluster 4
1185,35,Male,Bachelor,54700,North,College Graduate,Cluster 1
1186,48,Female,High School,43700,East,High School,Cluster 2
1187,29,Male,Master,70700,West,Postgraduate,Cluster 3
1188,38,Female,Associate,46200,South,Some College,Cluster 4
1189,33,Male,Bachelor,53200,North,College Graduate,Cluster 1
1190,49,Female,High School,42200,East,High School,Cluster 2
1191,31,Male,Master,69700,West,Postgraduate,Cluster 3
1192,55,Female,Associate,47200,South,Some College,Cluster 4
1193,36,Male,Bachelor,56200,North,College Graduate,Cluster 1
1194,42,Female,High School,40200,East,High School,Cluster 2
1195,27,Male,Master,72700,West,Postgraduate,Cluster 3
1196,39,Female,Associate,46700,South,Some College,Cluster 4
1197,34,Male,Bachelor,54200,North,College Graduate,Cluster 1
1198,47,Female,High School,43200,East,High School,Cluster 2
1199,30,Male,Master,68200,West,Postgraduate,Cluster 3
1200,53,Female,Associate,49200,South,Some College,Cluster 4