RespondentID,Age,Role,Department,VisualizationType,ChartJunkPresent,ClarityRating,EthicalConcern,StorytellingScore
1001,28,Data Analyst,Marketing,Bar,No,8,No,7
1002,34,Manager,Sales,Line,No,9,No,8
1003,41,Data Scientist,Finance,Pie,Yes,5,Yes,4
1004,29,Business Analyst,Operations,Bar,No,7,No,6
1005,36,Manager,HR,Line,No,8,No,7
1006,27,Data Analyst,Sales,Bar,Yes,6,No,5
1007,32,Data Scientist,IT,Scatter,No,9,No,8
1008,45,Manager,Finance,Pie,Yes,4,Yes,3
1009,38,Business Analyst,Marketing,Bar,No,8,No,7
1010,31,Data Analyst,Operations,Line,No,7,No,6
1011,26,Data Scientist,HR,Bar,No,8,No,7
1012,39,Manager,IT,Scatter,No,9,No,8
1013,42,Business Analyst,Finance,Pie,Yes,5,Yes,4
1014,30,Data Analyst,Sales,Bar,No,7,No,6
1015,35,Manager,Marketing,Line,No,8,No,7
1016,28,Data Scientist,Operations,Bar,Yes,6,No,5
1017,33,Business Analyst,HR,Scatter,No,9,No,8
1018,44,Manager,IT,Pie,Yes,4,Yes,3
1019,37,Data Analyst,Finance,Bar,No,8,No,7
1020,29,Data Scientist,Marketing,Line,No,7,No,6
1021,27,Business Analyst,Sales,Bar,No,8,No,7
1022,40,Manager,Operations,Scatter,No,9,No,8
1023,43,Data Analyst,HR,Pie,Yes,5,Yes,4
1024,31,Data Scientist,IT,Bar,No,7,No,6
1025,36,Business Analyst,Finance,Line,No,8,No,7
1026,28,Manager,Marketing,Bar,Yes,6,No,5
1027,34,Data Analyst,Operations,Scatter,No,9,No,8
1028,41,Business Analyst,HR,Pie,Yes,4,Yes,3
1029,39,Manager,Sales,Bar,No,8,No,7
1030,32,Data Scientist,Finance,Line,No,7,No,6
1031,26,Business Analyst,IT,Bar,No,8,No,7
1032,38,Manager,Operations,Scatter,No,9,No,8
1033,45,Data Analyst,HR,Pie,Yes,5,Yes,4
1034,30,Data Scientist,Marketing,Bar,No,7,No,6
1035,35,Business Analyst,Sales,Line,No,8,No,7
1036,27,Manager,Finance,Bar,Yes,6,No,5
1037,33,Data Analyst,IT,Scatter,No,9,No,8
1038,42,Business Analyst,Operations,Pie,Yes,4,Yes,3
1039,37,Manager,HR,Bar,No,8,No,7
1040,29,Data Scientist,Sales,Line,No,7,No,6
1041,31,Business Analyst,Marketing,Bar,No,8,No,7
1042,40,Manager,Finance,Scatter,No,9,No,8
1043,44,Data Analyst,Operations,Pie,Yes,5,Yes,4
1044,28,Data Scientist,HR,Bar,No,7,No,6
1045,36,Business Analyst,IT,Line,No,8,No,7
1046,32,Manager,Sales,Bar,Yes,6,No,5
1047,39,Data Analyst,Finance,Scatter,No,9,No,8
1048,41,Business Analyst,Marketing,Pie,Yes,4,Yes,3
1049,34,Manager,Operations,Bar,No,8,No,7
1050,27,Data Scientist,HR,Line,No,7,No,6
1051,29,Business Analyst,Sales,Bar,No,8,No,7
1052,38,Manager,IT,Scatter,No,9,No,8
1053,43,Data Analyst,Finance,Pie,Yes,5,Yes,4
1054,31,Data Scientist,Marketing,Bar,No,7,No,6
1055,35,Business Analyst,Operations,Line,No,8,No,7
1056,28,Manager,HR,Bar,Yes,6,No,5
1057,33,Data Analyst,Sales,Scatter,No,9,No,8
1058,42,Business Analyst,IT,Pie,Yes,4,Yes,3
1059,37,Manager,Finance,Bar,No,8,No,7
1060,30,Data Scientist,Operations,Line,No,7,No,6
1061,26,Business Analyst,Marketing,Bar,No,8,No,7
1062,38,Manager,Sales,Scatter,No,9,No,8
1063,45,Data Analyst,HR,Pie,Yes,5,Yes,4
1064,29,Data Scientist,Finance,Bar,No,7,No,6
1065,36,Business Analyst,IT,Line,No,8,No,7
1066,27,Manager,Operations,Bar,Yes,6,No,5
1067,34,Data Analyst,Marketing,Scatter,No,9,No,8
1068,41,Business Analyst,Sales,Pie,Yes,4,Yes,3
1069,39,Manager,HR,Bar,No,8,No,7
1070,32,Data Scientist,Finance,Line,No,7,No,6
1071,28,Business Analyst,Operations,Bar,No,8,No,7
1072,40,Manager,IT,Scatter,No,9,No,8
1073,44,Data Analyst,Sales,Pie,Yes,5,Yes,4
1074,31,Data Scientist,Marketing,Bar,No,7,No,6
1075,35,Business Analyst,Finance,Line,No,8,No,7
1076,27,Manager,HR,Bar,Yes,6,No,5
1077,33,Data Analyst,Operations,Scatter,No,9,No,8
1078,42,Business Analyst,IT,Pie,Yes,4,Yes,3
1079,37,Manager,Sales,Bar,No,8,No,7
1080,29,Data Scientist,Finance,Line,No,7,No,6
1081,31,Business Analyst,Marketing,Bar,No,8,No,7
1082,38,Manager,Operations,Scatter,No,9,No,8
1083,45,Data Analyst,HR,Pie,Yes,5,Yes,4
1084,30,Data Scientist,Sales,Bar,No,7,No,6
1085,36,Business Analyst,IT,Line,No,8,No,7
1086,28,Manager,Finance,Bar,Yes,6,No,5
1087,34,Data Analyst,Operations,Scatter,No,9,No,8
1088,41,Business Analyst,HR,Pie,Yes,4,Yes,3
1089,39,Manager,Marketing,Bar,No,8,No,7
1090,32,Data Scientist,Sales,Line,No,7,No,6
1091,26,Business Analyst,Finance,Bar,No,8,No,7
1092,38,Manager,IT,Scatter,No,9,No,8
1093,43,Data Analyst,Operations,Pie,Yes,5,Yes,4
1094,31,Data Scientist,HR,Bar,No,7,No,6
1095,35,Business Analyst,Sales,Line,No,8,No,7
1096,28,Manager,Finance,Bar,Yes,6,No,5
1097,33,Data Analyst,Marketing,Scatter,No,9,No,8
1098,42,Business Analyst,Operations,Pie,Yes,4,Yes,3
1099,37,Manager,HR,Bar,No,8,No,7
1100,29,Data Scientist,IT,Line,No,7,No,6
1101,31,Business Analyst,Finance,Bar,No,8,No,7
1102,40,Manager,Sales,Scatter,No,9,No,8
1103,44,Data Analyst,Operations,Pie,Yes,5,Yes,4
1104,28,Data Scientist,HR,Bar,No,7,No,6
1105,36,Business Analyst,Marketing,Line,No,8,No,7
1106,27,Manager,Finance,Bar,Yes,6,No,5
1107,34,Data Analyst,Sales,Scatter,No,9,No,8
1108,41,Business Analyst,IT,Pie,Yes,4,Yes,3
1109,39,Manager,Operations,Bar,No,8,No,7
1110,32,Data Scientist,Finance,Line,No,7,No,6
1111,26,Business Analyst,HR,Bar,No,8,No,7
1112,38,Manager,Marketing,Scatter,No,9,No,8
1113,45,Data Analyst,Sales,Pie,Yes,5,Yes,4
1114,30,Data Scientist,Operations,Bar,No,7,No,6
1115,35,Business Analyst,Finance,Line,No,8,No,7
1116,27,Manager,IT,Bar,Yes,6,No,5
1117,33,Data Analyst,HR,Scatter,No,9,No,8
1118,42,Business Analyst,Marketing,Pie,Yes,4,Yes,3
1119,37,Manager,Sales,Bar,No,8,No,7
1120,29,Data Scientist,Finance,Line,No,7,No,6
1121,31,Business Analyst,Operations,Bar,No,8,No,7
1122,40,Manager,HR,Scatter,No,9,No,8
1123,44,Data Analyst,IT,Pie,Yes,5,Yes,4
1124,28,Data Scientist,Sales,Bar,No,7,No,6
1125,36,Business Analyst,Marketing,Line,No,8,No,7
1126,27,Manager,Finance,Bar,Yes,6,No,5
1127,34,Data Analyst,Operations,Scatter,No,9,No,8
1128,41,Business Analyst,HR,Pie,Yes,4,Yes,3
1129,39,Manager,IT,Bar,No,8,No,7
1130,32,Data Scientist,Sales,Line,No,7,No,6
1131,26,Business Analyst,Finance,Bar,No,8,No,7
1132,38,Manager,Operations,Scatter,No,9,No,8
1133,45,Data Analyst,Marketing,Pie,Yes,5,Yes,4
1134,30,Data Scientist,HR,Bar,No,7,No,6
1135,35,Business Analyst,Sales,Line,No,8,No,7
1136,28,Manager,Finance,Bar,Yes,6,No,5
1137,33,Data Analyst,IT,Scatter,No,9,No,8
1138,42,Business Analyst,Operations,Pie,Yes,4,Yes,3
1139,37,Manager,Marketing,Bar,No,8,No,7
1140,29,Data Scientist,Sales,Line,No,7,No,6
1141,31,Business Analyst,Finance,Bar,No,8,No,7
1142,40,Manager,HR,Scatter,No,9,No,8
1143,44,Data Analyst,Operations,Pie,Yes,5,Yes,4
1144,28,Data Scientist,IT,Bar,No,7,No,6
1145,36,Business Analyst,Marketing,Line,No,8,No,7
1146,27,Manager,Sales,Bar,Yes,6,No,5
1147,34,Data Analyst,Finance,Scatter,No,9,No,8
1148,41,Business Analyst,HR,Pie,Yes,4,Yes,3
1149,39,Manager,Operations,Bar,No,8,No,7
1150,32,Data Scientist,Marketing,Line,No,7,No,6